time,lat,lon,rcp26_r20mm_p10,rcp26_r20mm_p50,rcp26_r20mm_p90,rcp45_r20mm_p10,rcp45_r20mm_p50,rcp45_r20mm_p90,rcp85_r20mm_p10,rcp85_r20mm_p50,rcp85_r20mm_p90
2025-01-01,58.62,-104.46,0.00,0.00,2.00,0.00,0.00,2.00,0.00,0.00,1.70
2026-01-01,58.62,-104.46,0.00,1.00,2.00,0.00,0.50,2.00,0.00,1.00,2.00
2027-01-01,58.62,-104.46,0.00,1.00,2.80,0.00,1.00,2.00,0.00,1.00,2.00
2028-01-01,58.62,-104.46,0.00,0.00,2.00,0.00,1.00,2.00,0.00,0.50,2.70
2029-01-01,58.62,-104.46,0.00,0.00,2.00,0.00,1.00,1.70,0.00,1.00,2.00
2030-01-01,58.62,-104.46,0.00,1.00,2.00,0.00,1.00,2.00,0.00,1.00,2.70
2031-01-01,58.62,-104.46,0.00,1.00,2.00,0.00,1.00,2.00,0.00,1.00,2.00
2032-01-01,58.62,-104.46,0.00,1.00,2.00,0.00,1.00,2.70,0.00,1.00,2.70
2033-01-01,58.62,-104.46,0.00,1.00,1.00,0.00,1.00,2.70,0.00,1.00,2.70
2034-01-01,58.62,-104.46,0.00,1.00,3.00,0.00,1.00,2.00,0.00,1.00,2.70
2035-01-01,58.62,-104.46,0.00,1.00,3.00,0.00,1.00,3.00,0.00,1.00,2.70
2036-01-01,58.62,-104.46,0.00,1.00,2.00,0.00,1.00,3.00,0.00,1.00,3.00
2037-01-01,58.62,-104.46,0.00,1.00,2.80,0.00,1.00,2.00,0.00,1.00,3.00
2038-01-01,58.62,-104.46,0.00,0.00,1.80,0.00,1.00,2.00,0.00,1.00,3.70
2039-01-01,58.62,-104.46,0.00,1.00,3.00,0.00,0.00,2.00,0.00,1.00,2.00
2040-01-01,58.62,-104.46,0.00,1.00,2.80,0.00,1.00,2.00,0.00,1.00,2.00
2041-01-01,58.62,-104.46,0.00,1.00,2.00,0.00,1.00,2.00,0.00,1.00,3.70
2042-01-01,58.62,-104.46,0.00,1.00,2.00,0.00,1.00,3.00,0.00,1.00,3.00
2043-01-01,58.62,-104.46,0.00,1.00,2.80,0.00,1.00,2.00,0.00,1.00,2.70
2044-01-01,58.62,-104.46,0.00,1.00,2.00,0.00,0.00,2.70,0.00,0.50,2.00
2045-01-01,58.62,-104.46,0.00,1.00,2.80,0.00,1.00,2.00,0.00,1.00,2.00
2046-01-01,58.62,-104.46,0.00,1.00,2.80,0.00,0.50,2.70,0.00,1.00,3.00
2047-01-01,58.62,-104.46,0.00,1.00,2.00,0.00,1.00,1.70,0.00,1.00,2.00
2048-01-01,58.62,-104.46,0.00,1.00,2.00,0.00,1.00,2.70,0.00,1.50,3.70
2049-01-01,58.62,-104.46,0.00,0.00,2.00,0.00,1.00,2.00,0.00,1.00,2.00
2050-01-01,58.62,-104.46,0.00,1.00,2.00,0.00,1.00,3.00,0.00,0.50,3.00
2051-01-01,58.62,-104.46,0.00,1.00,2.00,0.00,1.00,3.00,0.00,1.00,2.70
2052-01-01,58.62,-104.46,0.00,1.00,3.00,0.00,1.00,2.70,0.00,1.00,2.00
