"REF_DATE","GEO","DGUID","Commodity groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1998","Western Canada","","Fresh fruit [A14]","Index, 2007=100","181","units","0","v66450135","9.6","78.3","","","","1"
"1999","Western Canada","","Fresh fruit [A14]","Index, 2007=100","181","units","0","v66450135","9.6","88.0","","","","1"
"2000","Western Canada","","Fresh fruit [A14]","Index, 2007=100","181","units","0","v66450135","9.6","87.2","","","","1"
"2001","Western Canada","","Fresh fruit [A14]","Index, 2007=100","181","units","0","v66450135","9.6","75.6","","","","1"
"2002","Western Canada","","Fresh fruit [A14]","Index, 2007=100","181","units","0","v66450135","9.6","84.5","","","","1"
"2003","Western Canada","","Fresh fruit [A14]","Index, 2007=100","181","units","0","v66450135","9.6","88.4","","","","1"
"2004","Western Canada","","Fresh fruit [A14]","Index, 2007=100","181","units","0","v66450135","9.6","91.5","","","","1"
"2005","Western Canada","","Fresh fruit [A14]","Index, 2007=100","181","units","0","v66450135","9.6","96.9","","","","1"
"2006","Western Canada","","Fresh fruit [A14]","Index, 2007=100","181","units","0","v66450135","9.6","98.9","","","","1"
"2007","Western Canada","","Fresh fruit [A14]","Index, 2007=100","181","units","0","v66450135","9.6","100.0","","","","1"
"2008","Western Canada","","Fresh fruit [A14]","Index, 2007=100","181","units","0","v66450135","9.6","107.6","","","","1"
"2009","Western Canada","","Fresh fruit [A14]","Index, 2007=100","181","units","0","v66450135","9.6","91.3","","","","1"
"2010","Western Canada","","Fresh fruit [A14]","Index, 2007=100","181","units","0","v66450135","9.6","103.4","","","","1"
"2011","Western Canada","","Fresh fruit [A14]","Index, 2007=100","181","units","0","v66450135","9.6","105.7","","","","1"
"2012","Western Canada","","Fresh fruit [A14]","Index, 2007=100","181","units","0","v66450135","9.6","107.1","","","","1"
"2013","Western Canada","","Fresh fruit [A14]","Index, 2007=100","181","units","0","v66450135","9.6","104.6","","","","1"
"2014","Western Canada","","Fresh fruit [A14]","Index, 2007=100","181","units","0","v66450135","9.6","98.7","","","","1"
"2015","Western Canada","","Fresh fruit [A14]","Index, 2007=100","181","units","0","v66450135","9.6","104.9","","","","1"
"2016","Western Canada","","Fresh fruit [A14]","Index, 2007=100","181","units","0","v66450135","9.6","105.3","","","","1"
"2017","Western Canada","","Fresh fruit [A14]","Index, 2007=100","181","units","0","v66450135","9.6","116.4","","","","1"
"2018","Western Canada","","Fresh fruit [A14]","Index, 2007=100","181","units","0","v66450135","9.6","121.2","","","","1"
"2019","Western Canada","","Fresh fruit [A14]","Index, 2007=100","181","units","0","v66450135","9.6","114.2","","","","1"
"2020","Western Canada","","Fresh fruit [A14]","Index, 2007=100","181","units","0","v66450135","9.6","117.8","","","","1"
"1992","Western Canada","","Fresh vegetables (except potatoes and pulse crops) [A15]","Index, 2007=100","181","units","0","v66450136","9.7","87.5","","","","1"
"1993","Western Canada","","Fresh vegetables (except potatoes and pulse crops) [A15]","Index, 2007=100","181","units","0","v66450136","9.7","87.3","","","","1"
"1994","Western Canada","","Fresh vegetables (except potatoes and pulse crops) [A15]","Index, 2007=100","181","units","0","v66450136","9.7","88.9","","","","1"
"1995","Western Canada","","Fresh vegetables (except potatoes and pulse crops) [A15]","Index, 2007=100","181","units","0","v66450136","9.7","91.9","","","","1"
"1996","Western Canada","","Fresh vegetables (except potatoes and pulse crops) [A15]","Index, 2007=100","181","units","0","v66450136","9.7","92.8","","","","1"
"1997","Western Canada","","Fresh vegetables (except potatoes and pulse crops) [A15]","Index, 2007=100","181","units","0","v66450136","9.7","96.4","","","","1"
"1998","Western Canada","","Fresh vegetables (except potatoes and pulse crops) [A15]","Index, 2007=100","181","units","0","v66450136","9.7","100.5","","","","1"
"1999","Western Canada","","Fresh vegetables (except potatoes and pulse crops) [A15]","Index, 2007=100","181","units","0","v66450136","9.7","92.3","","","","1"
"2000","Western Canada","","Fresh vegetables (except potatoes and pulse crops) [A15]","Index, 2007=100","181","units","0","v66450136","9.7","97.6","","","","1"
"2001","Western Canada","","Fresh vegetables (except potatoes and pulse crops) [A15]","Index, 2007=100","181","units","0","v66450136","9.7","95.4","","","","1"
"2002","Western Canada","","Fresh vegetables (except potatoes and pulse crops) [A15]","Index, 2007=100","181","units","0","v66450136","9.7","120.9","","","","1"
"2003","Western Canada","","Fresh vegetables (except potatoes and pulse crops) [A15]","Index, 2007=100","181","units","0","v66450136","9.7","123.8","","","","1"
"2004","Western Canada","","Fresh vegetables (except potatoes and pulse crops) [A15]","Index, 2007=100","181","units","0","v66450136","9.7","124.8","","","","1"
"2005","Western Canada","","Fresh vegetables (except potatoes and pulse crops) [A15]","Index, 2007=100","181","units","0","v66450136","9.7","106.9","","","","1"
"2006","Western Canada","","Fresh vegetables (except potatoes and pulse crops) [A15]","Index, 2007=100","181","units","0","v66450136","9.7","109.2","","","","1"
"2007","Western Canada","","Fresh vegetables (except potatoes and pulse crops) [A15]","Index, 2007=100","181","units","0","v66450136","9.7","100.0","","","","1"
"2008","Western Canada","","Fresh vegetables (except potatoes and pulse crops) [A15]","Index, 2007=100","181","units","0","v66450136","9.7","106.2","","","","1"
"2009","Western Canada","","Fresh vegetables (except potatoes and pulse crops) [A15]","Index, 2007=100","181","units","0","v66450136","9.7","106.6","","","","1"
"2010","Western Canada","","Fresh vegetables (except potatoes and pulse crops) [A15]","Index, 2007=100","181","units","0","v66450136","9.7","107.9","","","","1"
"2011","Western Canada","","Fresh vegetables (except potatoes and pulse crops) [A15]","Index, 2007=100","181","units","0","v66450136","9.7","112.2","","","","1"
